company,type,status,roles_found,detail
GitLab Ireland Limited,greenhouse,OK,6,168 total jobs
Glanbia Management Services Limited,html,OK,4,76 links scanned
GlobalLogic Software and Technology Ireland Limited,html,FAIL,0,HTTP 403
Goodbody Stockbrokers,html,OK,0,50 links scanned
Google Ireland Limited,html,OK,0,85 links scanned
Google Cloud EMEA Limited,html,OK,0,85 links scanned
Grant Thornton,html,OK,0,99 links scanned
Guidewire Software (Ireland) Limited,html,OK,0,174 links scanned
Hanley Energy Limited,html,FAIL,0,HTTP 404
HCL Technologies Limited,html,OK,0,86 links scanned
Healthbeacon PLC,html,OK,0,51 links scanned
HEAnet,html,FAIL,0,HTTP 404
Hewlett Packard Enterprise Ireland Limited,html,OK,0,9 links scanned
Horizon Quantum Computing (Ireland) Limited,html,OK,0,72 links scanned
Hovione Limited,html,FAIL,0,HTTP 404
HubSpot Ireland Limited,greenhouse,OK,0,0 total jobs
Huawei Technologies (Ireland) Co Ltd,html,OK,0,58 links scanned
IBM Ireland Limited,html,OK,0,6 links scanned
ICE Data Services Ireland Limited,html,FAIL,0,HTTP 500
ICON Clinical Research Limited,html,OK,1,290 links scanned
Indeemo Limited,html,FAIL,0,HTTP 404
Infineon Technologies Ireland Limited,html,FAIL,0,HTTP 404
Infosys Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
Intel Ireland Limited,html,FAIL,0,"HTTPSConnectionPool(host='corpredirect.intel.com', port=443)"
Intel Research and Development Ireland Limited,html,FAIL,0,"HTTPSConnectionPool(host='corpredirect.intel.com', port=443)"
Interactive Brokers Ireland Limited,html,FAIL,0,HTTP 404
Intercom R&D Unlimited Company,greenhouse,OK,10,134 total jobs
IQVIA RDS Ireland Limited,html,FAIL,0,HTTP 404
Irish Life Group Services Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.irishlifegroup.ie', port=4"
Johnson & Johnson Vision Care Ireland UC,html,OK,2,255 links scanned
Johnson Controls Ireland Limited,html,FAIL,0,HTTP 404
J.P. Morgan SE,html,OK,0,111 links scanned
Kaseya Limited,html,OK,0,137 links scanned
KBI Global Investors Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
Keelvar Systems Limited,html,OK,0,95 links scanned
Kerry Group Services Ltd,html,FAIL,0,"HTTPSConnectionPool(host='careers.kerry.com', port=443): Max"
Keywords International Ltd.,html,FAIL,0,HTTP 404
KKR Ireland DAC,html,OK,0,107 links scanned
Klaviyo Ireland Limited,greenhouse,OK,4,152 total jobs
Kneat Solutions Limited,html,OK,0,177 links scanned
KPMG,html,FAIL,0,"HTTPSConnectionPool(host='kpmgcareers.ie', port=443): Max re"
Lam Research (Ireland) Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.lamresearch.com', port=443"
Learnosity Limited,html,OK,0,176 links scanned
LearnUpon Limited,html,OK,0,33 links scanned
Liberty Information Technology Limited,html,FAIL,0,"HTTPSConnectionPool(host='www.libertyit.co.uk', port=443): M"
LinkedIn Ireland Unlimited Company,html,FAIL,0,HTTP 404
Logitech Ireland Services Limited,html,FAIL,0,"HTTPSConnectionPool(host='www.jobvite.com', port=443): Max r"
LTI Mindtree Limited,html,OK,0,118 links scanned
Mastercard Ireland Limited,html,OK,0,100 links scanned
McAfee Ireland Limited,html,FAIL,0,HTTP 404
Merative Healthcare Ireland Limited,html,OK,4,201 links scanned
Merck Sharp & Dohme Ireland (Human Health) Limited,html,FAIL,0,"HTTPSConnectionPool(host='jobs.msd.com', port=443): Max retr"
Meta Platforms Ireland Limited,html,FAIL,0,HTTP 400
Microsoft Ireland Operations Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
Microsoft Ireland Research Unlimited Company,html,EMPTY,0,few/no server-side links (JS-rendered?)
Micron Agritech Limited,html,FAIL,0,HTTP 404
MongoDB Limited,greenhouse,OK,4,397 total jobs
Motorola Solutions Ireland Ltd,html,OK,0,475 links scanned
Mott MacDonald Ireland Limited,html,OK,0,169 links scanned
Munich Re Automation Solutions Ltd,html,FAIL,0,HTTP 404
Musgrave Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.musgravegroup.com', port=4"
NetApp Ireland Unlimited Company,html,OK,0,93 links scanned
Neueda Technologies Ireland Limited,html,OK,0,128 links scanned
"Notion Labs, Ireland Limited",greenhouse,FAIL,0,HTTP 404
Novartis Ireland Limited,html,OK,0,375 links scanned
NTT DATA Services Ireland Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.nttdata.com', port=443): M"
Ocuco Limited,html,OK,0,115 links scanned
Okta Identity Ireland Limited,greenhouse,OK,8,349 total jobs
OpenAI Ireland Limited,html,OK,73,1509 links scanned
OpenSky Data Systems Ltd,html,OK,4,177 links scanned
Optum Services (Ireland) Limited,html,OK,3,121 links scanned
Oracle EMEA Ltd,html,OK,0,15 links scanned
Ornua Co-Operative Limited,html,OK,2,125 links scanned
Parexel International (IRL) Limited,html,OK,6,565 links scanned
PayPal Europe Services Limited,html,FAIL,0,HTTP 404
Permanent TSB PLC,html,FAIL,0,"HTTPSConnectionPool(host='careers.ptsb.ie', port=443): Max r"
PFH Technology Group Unlimited Company,html,OK,0,67 links scanned
Pfizer Ireland Pharmaceuticals Unlimited Company,html,EMPTY,0,few/no server-side links (JS-rendered?)
Pinterest Europe Limited,html,OK,1,106 links scanned
Pobal Ltd,html,OK,0,47 links scanned
PricewaterhouseCoopers (PwC Ireland),html,OK,1,225 links scanned
Proofpoint Ireland Limited,html,OK,0,141 links scanned
Qualtech Ltd,html,FAIL,0,"HTTPSConnectionPool(host='www.qualtech.ie', port=443): Max r"
Quest Software International Limited,html,OK,0,89 links scanned
Raidio Teilifis Eireann (RTE),html,OK,0,278 links scanned
Randstad Ireland Operations Limited,html,OK,0,442 links scanned
RecommenderX DAC,html,FAIL,0,"HTTPSConnectionPool(host='www.recommenderx.com', port=443): "
Red Hat Limited,html,OK,0,181 links scanned
Regeneron Ireland DAC,html,FAIL,0,HTTP 404
Roche Products (Ireland) Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.roche.com', port=443): Max"
Roomex Limited,html,FAIL,0,HTTP 429
Royal College of Surgeons In Ireland,html,FAIL,0,HTTP 404
Ryanair Labs Limited,html,OK,0,100 links scanned
SAP Ireland Limited,html,OK,0,69 links scanned
Schneider Electric Ireland Limited,html,OK,0,70 links scanned
Serosep Limited,html,OK,0,83 links scanned
ServiceNow Ireland Limited,html,OK,0,71 links scanned
SFDC Ireland Limited (Salesforce),html,EMPTY,0,few/no server-side links (JS-rendered?)
Shutterstock Ireland Limited,greenhouse,FAIL,0,HTTP 404
Siemens Healthcare Diagnostics Manufacturing Limited,html,FAIL,0,HTTP 404
SITA Information Networking Computing Ireland Limited,html,OK,0,94 links scanned
Sonra Intelligence Limited,html,FAIL,0,HTTP 404
Sony Interactive Entertainment Ireland Limited,html,OK,7,218 links scanned
Spotify Ireland Limited,lever,OK,16,114 total jobs
Squarespace Ireland Limited,greenhouse,OK,0,15 total jobs
State Street International (Ireland) Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
State Street Technology (Ireland) Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
Stats Sports Data & Technology Ireland Ltd,html,OK,0,61 links scanned
Stripe Technology Company Limited,greenhouse,OK,20,518 total jobs
Stryker Ireland Limited,html,FAIL,0,HTTP 404
Susquehanna International Group Limited,html,OK,0,27 links scanned
SurveyMonkey Europe Unlimited Company,html,OK,0,226 links scanned
Synopsys International Ltd,html,OK,2,92 links scanned
Tata Consultancy Services Ireland Limited,html,FAIL,0,HTTP 403
Tata Elxsi Limited,html,OK,2,163 links scanned
Tech Mahindra Limited,html,OK,0,70 links scanned
Tekenable Limited,html,OK,0,157 links scanned
Temenos Systems Ireland Limited,html,OK,0,128 links scanned
Tenable Network Security Ireland Limited,greenhouse,FAIL,0,HTTP 404
Tesco Ireland Ltd,html,OK,0,95 links scanned
Tetra Tech Ireland Limited,html,OK,0,131 links scanned
TikTok Technology Limited,html,OK,0,65 links scanned
Truata Limited,html,OK,0,50 links scanned
Trulioo (Ireland) Limited,html,OK,0,122 links scanned
Twilio Ireland Limited,greenhouse,OK,6,169 total jobs
Udemy Ireland Limited,greenhouse,OK,0,9 total jobs
Uisce Eireann,html,FAIL,0,HTTP 404
Uniphar Group,html,OK,0,5 links scanned
Version 1 Software Limited,html,FAIL,0,HTTP 404
Vodafone Ireland Limited,html,FAIL,0,HTTP 404
Virgin Media Ireland Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.virginmedia.ie', port=443)"
VHI Health & Wellbeing DAC,html,FAIL,0,"HTTPSConnectionPool(host='careers.vhi.ie', port=443): Max re"
Wayfair Stores Limited,html,FAIL,0,HTTP 404
Wayflyer Limited,greenhouse,FAIL,0,HTTP 404
Waystone Centralised Services (IE) Limited,html,OK,0,178 links scanned
WhatsApp Ireland Limited,html,FAIL,0,HTTP 400
